1 [140645597820864] INFO perfrun.launcher <> - Launcher main begin
3 [140645597820864] INFO perfrun.launcher <> - MessageCatalogInit finished
3 [140645597820864] INFO perfrun.launcher <> - Launcher instance created
3 [140645597820864] INFO perfrun.launcher <> - argc = 6; cmdline = /opt/intel/oneapi/advisor/2025.0/bin64/advixe-runss --ui-output-format xml --ui-output-fd 108 --context-value-list 
60 [140645597820864] INFO perfrun.launcher <> - create msngr2::ICliToolContext
61 [140645597820864] INFO perfrun.launcher <> - create file finder object
62 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
62 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
62 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 167
62 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
63 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
63 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = false
63 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
63 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
63 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = true
64 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = false
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 5.15.167.4-microsoft-standard-WSL2
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = Microsoft Hv
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 4
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
68 [140645597820864] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
68 [140645597820864] INFO perfrun.launcher <> - Application exit code: 0
68 [140645597820864] INFO perfrun.launcher <> - Exit code: 0
