2 [139862682523584] INFO perfrun.launcher <> - Launcher main begin
3 [139862682523584] INFO perfrun.launcher <> - MessageCatalogInit finished
3 [139862682523584] INFO perfrun.launcher <> - Launcher instance created
3 [139862682523584] INFO perfrun.launcher <> - argc = 6; cmdline = /opt/intel/oneapi/advisor/2025.0/bin64/advixe-runss --ui-output-format xml --ui-output-fd 109 --context-value-list 
68 [139862682523584] INFO perfrun.launcher <> - create msngr2::ICliToolContext
72 [139862682523584] INFO perfrun.launcher <> - create file finder object
74 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
75 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
75 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 167
75 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
75 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
75 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = false
76 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
76 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
76 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = true
76 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
76 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = false
76 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
77 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
77 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
77 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
77 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
77 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
78 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
78 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
78 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
78 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
78 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 5.15.167.4-microsoft-standard-WSL2
79 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
79 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
79 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
79 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
79 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = Microsoft Hv
79 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 4
80 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
80 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
80 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
80 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
80 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
80 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
80 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
81 [139862682523584] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
81 [139862682523584] INFO perfrun.launcher <> - Application exit code: 0
81 [139862682523584] INFO perfrun.launcher <> - Exit code: 0
