1 [139991422318528] INFO perfrun.launcher <> - Launcher main begin
1 [139991422318528] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [139991422318528] INFO perfrun.launcher <> - Launcher instance created
1 [139991422318528] INFO perfrun.launcher <> - argc = 6; cmdline = /opt/intel/oneapi/advisor/2025.0/bin64/advixe-runss --ui-output-format xml --ui-output-fd 109 --context-value-list 
29 [139991422318528] INFO perfrun.launcher <> - create msngr2::ICliToolContext
29 [139991422318528] INFO perfrun.launcher <> - create file finder object
30 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
30 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
30 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 167
31 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
31 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
31 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = false
31 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
31 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
31 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = true
31 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
32 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = false
32 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
32 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
32 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
32 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
32 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
32 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
33 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
33 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
33 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
33 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
33 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 5.15.167.4-microsoft-standard-WSL2
33 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
34 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
34 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
34 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
34 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = Microsoft Hv
34 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 4
34 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
35 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
35 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
35 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
36 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
36 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
39 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
39 [139991422318528] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
40 [139991422318528] INFO perfrun.launcher <> - Application exit code: 0
40 [139991422318528] INFO perfrun.launcher <> - Exit code: 0
